"year","title","authors","venue","doi","openalex_id","oa_url","cited_by_count","screening_status","screening_reason"
"2023","Federated Multi-View Synthesizing for Metaverse","Yiyu Guo; Zhijin Qin; Xiaoming Tao; Geoffrey Ye Li","arXiv (Cornell University)","10.48550/arxiv.2401.00859","https://openalex.org/W4390573069","https://arxiv.org/pdf/2401.00859","0","candidate",""
"2023","Mem-DeepSC: A Semantic Communication System with Memory","Zhijin Qin; Huiqiang Xie; Xiaoming Tao",,"10.1109/icc45041.2023.10279664","https://openalex.org/W4387870090",,"4","candidate",""
"2023","Meta Federated Reinforcement Learning for Distributed Resource Allocation","Zelin Ji; Zhijin Qin; Xiaoming Tao","arXiv (Cornell University)","10.48550/arxiv.2307.02900","https://openalex.org/W4383604858","https://arxiv.org/pdf/2307.02900","0","candidate",""
"2023","Multimedia Semantic Communications: Representation, Encoding and Transmission","Yiping Duan; Qiyuan Du; Xin Fang; Zhipeng Xie; Zhijin Qin; Xiaoming Tao; Chengkang Pan; Guangyi Liu","IEEE Network","10.1109/mnet.001.2200468","https://openalex.org/W4367280863",,"18","candidate",""
"2023","QoE-based Semantic-Aware Resource Allocation for Multi-Task Networks","Lei Yan; Zhijin Qin; Li, Chunfeng; Rui Zhang; Yongzhao Li; Xiaoming Tao","arXiv (Cornell University)","10.48550/arxiv.2305.06543","https://openalex.org/W4376312105","https://arxiv.org/pdf/2305.06543","1","candidate",""
"2023","Resource Optimization for Semantic-Aware Networks with Task Offloading","Zelin Ji; Zhijin Qin; Tao, Xiaoming; Zhu, Han","arXiv (Cornell University)","10.48550/arxiv.2301.08376","https://openalex.org/W4317832346","https://arxiv.org/pdf/2301.08376","0","candidate",""
"2023","Robust Semantic Communications With Masked VQ-VAE Enabled Codebook","Qiyu Hu; Guangyi Zhang; Zhijin Qin; Yunlong Cai; Guanding Yu; Geoffrey Ye Li","IEEE Transactions on Wireless Communications","10.1109/twc.2023.3265201","https://openalex.org/W4365420366",,"231","candidate",""
"2023","Semantic Communication for the Internet of Vehicles: A Multiuser Cooperative Approach","Wenjun Xu; Yimeng Zhang; Fengyu Wang; Zhijin Qin; Chenyao Liu; Ping Zhang","IEEE Vehicular Technology Magazine","10.1109/mvt.2022.3227723","https://openalex.org/W4315473433",,"78","candidate",""
"2023","Semantic Communication with Memory","Huiqiang Xie; Zhijin Qin; Geoffrey Ye Li","arXiv (Cornell University)","10.48550/arxiv.2303.12335","https://openalex.org/W4360831985","https://arxiv.org/pdf/2303.12335","0","candidate",""
"2023","Semantic Communication With Memory","Huiqiang Xie; Zhijin Qin; Geoffrey Ye Li","IEEE Journal on Selected Areas in Communications","10.1109/jsac.2023.3288236","https://openalex.org/W4381802353","https://ieeexplore.ieee.org/ielx7/49/5594698/10159023.pdf","66","candidate",""
"2023","Semantic Communications with Variable-Length Coding for Extended Reality","Bowen Zhang; Zhijin Qin; Geoffrey Ye Li","arXiv (Cornell University)","10.48550/arxiv.2302.08645","https://openalex.org/W4321392415","https://arxiv.org/pdf/2302.08645","3","candidate",""
"2023","Semantic Communications With Variable-Length Coding for Extended Reality","Bowen Zhang; Zhijin Qin; Geoffrey Ye Li","IEEE Journal of Selected Topics in Signal Processing","10.1109/jstsp.2023.3300509","https://openalex.org/W4385452934","https://ieeexplore.ieee.org/ielx7/4200690/5418892/10198383.pdf","38","candidate",""
"2023","Semantic-Aware Image Compressed Sensing","Bowen Zhang; Zhijin Qin; Geoffrey Ye Li","arXiv (Cornell University)","10.48550/arxiv.2307.03246","https://openalex.org/W4383868690","https://arxiv.org/pdf/2307.03246","0","candidate",""
"2023","Semantic-Aware Speech-to-Text Transmission Over MIMO Channels","Zhenzi Weng; Zhijin Qin; Xiaoming Tao",,"10.1109/iccworkshops57953.2023.10283658","https://openalex.org/W4387870810",,"7","candidate",""
"2023","Task-Oriented Explainable Semantic Communications Based on Structured Scene Graphs","Shiqi Sun; Zhijin Qin; Huiqiang Xie; Xiaoming Tao",,"10.1109/globecom54140.2023.10436793","https://openalex.org/W4392152400",,"6","candidate",""
"2023","Task-Oriented Semantic Communications for Speech Transmission","Zhenzi Weng; Zhijin Qin; Xiaoming Tao",,"10.1109/vtc2023-fall60731.2023.10333632","https://openalex.org/W4389544952",,"10","candidate",""
"2023","Vector Quantized Semantic Communication System","Qifan Fu; Huiqiang Xie; Zhijin Qin; Greg Slabaugh; Xiaoming Tao","IEEE Wireless Communications Letters","10.1109/lwc.2023.3255221","https://openalex.org/W4323896648","https://qmro.qmul.ac.uk/xmlui/bitstream/123456789/85144/2/Slabaugh%20Vector%20Quantized%20Semantic%202023%20Accepted.PDF","95","candidate",""
"2024","A GAN-Based Semantic Communication for Text Without CSI","Jin Mao; Ke Xiong; Ming Liu; Zhijin Qin; Wei Chen; Pingyi Fan; Khaled B. Letaief","IEEE Transactions on Wireless Communications","10.1109/twc.2024.3415363","https://openalex.org/W4400275634",,"27","candidate",""
"2024","A Robust Semantic Communication System for Image","Xiang Peng; Zhijin Qin; Xiaoming Tao; Jianhua Lu; Khaled B. Letaief","arXiv (Cornell University)","10.48550/arxiv.2403.09222","https://openalex.org/W4392871558","https://arxiv.org/pdf/2403.09222","0","candidate",""
"2024","A Robust Semantic Communication System for Image Transmission","Xiang Peng; Zhijin Qin; Xiaoming Tao; Jianhua Lu; Khaled B. Letaief",,"10.1109/globecom52923.2024.10901733","https://openalex.org/W4408325217",,"6","candidate",""
"2024","A Robust Semantic Text Communication System","Xiang Peng; Zhijin Qin; Xiaoming Tao; Jianhua Lü; Lajos Hanzo","IEEE Transactions on Wireless Communications","10.1109/twc.2024.3381950","https://openalex.org/W4393371816","https://ieeexplore.ieee.org/ielx7/7693/4656680/10486856.pdf","44","candidate",""
"2024","A Unified Multi-Task Semantic Communication System for Multimodal Data","Guangyi Zhang; Qiyu Hu; Zhijin Qin; Yunlong Cai; Guanding Yu; Xiaoming Tao","IEEE Transactions on Communications","10.1109/tcomm.2024.3364990","https://openalex.org/W4391677749",,"140","candidate",""
"2024","Adaptive Resource Allocation for Semantic Communication Networks","Lingyi Wang; Wei Wu; Fuhui Zhou; Zhaohui Yang; Zhijin Qin; Qihui Wu","IEEE Transactions on Communications","10.1109/tcomm.2024.3405355","https://openalex.org/W4398775154",,"79","candidate",""
"2024","AI Empowered Wireless Communications: From Bits to Semantics","Zhijin Qin; Le Liang; Zijing Wang; Shi Jin; Xiaoming Tao; Wen Tong; Geoffrey Ye Li","Proceedings of the IEEE","10.1109/jproc.2024.3437730","https://openalex.org/W4401871087","https://doi.org/10.1109/jproc.2024.3437730","70","candidate",""
"2024","Compression Ratio Learning and Semantic Communications for Video Imaging","Bowen Zhang; Zhijin Qin; Geoffrey Ye Li","IEEE Journal of Selected Topics in Signal Processing","10.1109/jstsp.2024.3405853","https://openalex.org/W4399039588","https://ieeexplore.ieee.org/ielx7/4200690/5418892/10539255.pdf","8","candidate",""
"2024","Computational Offloading in Semantic-Aware Cloud-Edge-End Collaborative Networks","Zelin Ji; Zhijin Qin","IEEE Journal of Selected Topics in Signal Processing","10.1109/jstsp.2024.3433387","https://openalex.org/W4400976614",,"7","candidate",""
"2024","Computational Offloading in Semantic-Aware Cloud-Edge-End Collaborative Networks","Zelin Ji; Zhijin Qin","arXiv (Cornell University)","10.48550/arxiv.2402.18183","https://openalex.org/W4392340399","https://arxiv.org/pdf/2402.18183","0","candidate",""
"2024","Computing Networks Enabled Semantic Communications","Zhijin Qin; Jingkai Ying; Dingxi Yang; Hengjiang Wang; Xiaoming Tao","IEEE Network","10.1109/mnet.2024.3352031","https://openalex.org/W4390692162",,"23","candidate",""
"2024","End-to-End Semantic Information Transmission","Xiaoming Tao; Yiping Duan; Zhijin Qin; Danlan Huang; Liting Wang","Wireless networks","10.1007/978-3-031-64155-8_5","https://openalex.org/W4402601445",,"0","candidate",""
"2024","Energy-Efficient Distributed Spiking Neural Network for Wireless Edge Intelligence","Yanzhen Liu; Zhijin Qin; Geoffrey Ye Li","IEEE Transactions on Wireless Communications","10.1109/twc.2024.3374549","https://openalex.org/W4392822827","https://ieeexplore.ieee.org/ielx7/7693/4656680/10472876.pdf","26","candidate",""
"2024","Hybrid Bit and Semantic Communications","Kaiwen Yu; Renhe Fan; Gang Wu; Zhijin Qin","arXiv (Cornell University)","10.48550/arxiv.2404.19477","https://openalex.org/W4396600735","https://arxiv.org/pdf/2404.19477","0","candidate",""
"2024","Hybrid Digital-Analog Joint Semantic-Channel Coding for Image Transmission","Huiqiang Xie; Zhijin Qin; Zhu Han; Khaled B. Letaief",,"10.1109/gcwkshp64532.2024.11101089","https://openalex.org/W4413179990",,"0","candidate",""
"2024","Hybrid Digital-Analog Semantic Communications","Huiqiang Xie; Zhijin Qin; Zhu Han; Khaled B. Letaief","arXiv (Cornell University)","10.48550/arxiv.2405.12580","https://openalex.org/W4398230118","https://arxiv.org/pdf/2405.12580","0","candidate",""
"2024","Intellicise Wireless Networks From Semantic Communications: A Survey, Research Issues, and Challenges","Ping Zhang; Wenjun Xu; Yiming Liu; Xiaoqi Qin; Kai Niu; Shuguang Cui; Guangming Shi; Zhijin Qin; Xiaodong Xu; Fengyu Wang; Yue Meng; Chen Dong; Jincheng Dai; Qianqian Yang; Yaping Sun; Dahua Gao; Hui Gao; Shujun Han; Xiaodan Song","IEEE Communications Surveys & Tutorials","10.1109/comst.2024.3443193","https://openalex.org/W4401536718",,"54","candidate",""
"2024","IRS-Enhanced Secure Semantic Communication Networks: Cross-Layer and Context-Awared Resource Allocation","Lingyi Wang; Wei Wu; Fuhui Zhou; Zhijin Qin; Qihui Wu","IEEE Transactions on Wireless Communications","10.1109/twc.2024.3495720","https://openalex.org/W4404520586",,"30","candidate",""
"2024","IRS-Enhanced Secure Semantic Communication Networks: Cross-Layer and Context-Awared Resource Allocation","Lingyi Wang; Wei Wu; Fuhui Zhou; Zhijin Qin; Qihui Wu","arXiv (Cornell University)","10.48550/arxiv.2411.01821","https://openalex.org/W4404352967","https://arxiv.org/pdf/2411.01821","0","candidate",""
"2024","On Privacy, Security, and Trustworthiness in Distributed Wireless Large AI Models (WLAM)","Zhaohui Yang; Wei Xu; Le Liang; Yuanhao Cui; Zhijin Qin; Mérouane Debbah","arXiv (Cornell University)","10.48550/arxiv.2412.02538","https://openalex.org/W4405056521","https://arxiv.org/pdf/2412.02538","1","candidate",""
"2024","QoE Optimization for Wireless Multimedia Communications","Xiaoming Tao; Yiping Duan; Zhijin Qin; Danlan Huang; Liting Wang","Wireless networks","10.1007/978-3-031-64155-8_6","https://openalex.org/W4402601336",,"0","candidate",""
"2024","Resource Optimization for Semantic-Aware Networks With Task Offloading","Zelin Ji; Zhijin Qin; Xiaoming Tao; Zhu Han","IEEE Transactions on Wireless Communications","10.1109/twc.2024.3390407","https://openalex.org/W4395069600",,"28","candidate",""
"2024","Robust Semantic Communications for Speech Transmission","Zhenzi Weng; Zhijin Qin; Li, Geoffrey Ye","arXiv (Cornell University)","10.48550/arxiv.2403.05187","https://openalex.org/W4392678788","https://arxiv.org/pdf/2403.05187","0","candidate",""
"2024","Semantic Communication based on Large Language Model for Underwater Image Transmission","Weilong Chen; Wenxuan Xu; Haoran Chen; Xinran Zhang; Zhijin Qin; Yanru Zhang; Han Zhu","arXiv (Cornell University)","10.48550/arxiv.2408.12616","https://openalex.org/W4402698715","https://arxiv.org/pdf/2408.12616","1","candidate",""
